"filename", "language", "C++", "JSON with Comments", "Batch", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\Question.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\list.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\segTree.h", "C++", 91, 0, 0, 0, 4, 9, 104
"d:\Desktop\Document\Coding\C++\ACM\0_list\OneModeBanchMark\OMBM.cpp", "C++", 28, 0, 0, 0, 0, 4, 32
"d:\Desktop\Document\Coding\C++\ACM\0_list\Prime_Number_List\List.cpp", "C++", 32, 0, 0, 0, 35, 5, 72
"d:\Desktop\Document\Coding\C++\ACM\0_list\Prime_Number_List\list.md", "Markdown", 0, 0, 0, 100, 0, 1, 101
"d:\Desktop\Document\Coding\C++\ACM\0_list\sm\a.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\A.cpp", "C++", 82, 0, 0, 0, 5, 13, 100
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\B.cpp", "C++", 107, 0, 0, 0, 5, 13, 125
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\C.cpp", "C++", 85, 0, 0, 0, 4, 13, 102
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\A.cpp", "C++", 90, 0, 0, 0, 3, 11, 104
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\B.cpp", "C++", 136, 0, 0, 0, 3, 11, 150
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\C.cpp", "C++", 84, 0, 0, 0, 42, 14, 140
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\A.cpp", "C++", 54, 0, 0, 0, 3, 11, 68
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\B.cpp", "C++", 67, 0, 0, 0, 3, 11, 81
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\C.cpp", "C++", 71, 0, 0, 0, 3, 12, 86
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\A.cpp", "C++", 66, 0, 0, 0, 3, 11, 80
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\B.cpp", "C++", 52, 0, 0, 0, 3, 11, 66
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\C-T.cpp", "C++", 20, 0, 0, 0, 0, 4, 24
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\C.cpp", "C++", 71, 0, 0, 0, 18, 14, 103
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\D.cpp", "C++", 319, 0, 0, 0, 35, 16, 370
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF819.2\A.cpp", "C++", 65, 0, 0, 0, 3, 13, 81
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF819.2\B.cpp", "C++", 105, 0, 0, 0, 9, 18, 132
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\A.cpp", "C++", 41, 0, 0, 0, 1, 4, 46
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\B.cpp", "C++", 2, 0, 0, 0, 0, 1, 3
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\C.cpp", "C++", 47, 0, 0, 0, 1, 6, 54
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\A.cpp", "C++", 38, 0, 0, 0, 4, 7, 49
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\B.cpp", "C++", 38, 0, 0, 0, 4, 8, 50
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\C.cpp", "C++", 88, 0, 0, 0, 4, 14, 106
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\D.cpp", "C++", 72, 0, 0, 0, 3, 17, 92
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\list.cpp", "C++", 34, 0, 0, 0, 0, 6, 40
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\A.cpp", "C++", 46, 0, 0, 0, 3, 11, 60
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\B.cpp", "C++", 20, 0, 0, 0, 78, 5, 103
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\C.cpp", "C++", 58, 0, 0, 0, 6, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\A.cpp", "C++", 75, 0, 0, 0, 3, 12, 90
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\B.cpp", "C++", 75, 0, 0, 0, 3, 14, 92
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\C.cpp", "C++", 86, 0, 0, 0, 6, 13, 105
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\A.cpp", "C++", 44, 0, 0, 0, 3, 11, 58
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\B.cpp", "C++", 50, 0, 0, 0, 3, 11, 64
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\C.cpp", "C++", 59, 0, 0, 0, 5, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\D.cpp", "C++", 54, 0, 0, 0, 3, 12, 69
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\E.cpp", "C++", 124, 0, 0, 0, 5, 15, 144
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\A.cpp", "C++", 58, 0, 0, 0, 2, 13, 73
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\B.cpp", "C++", 63, 0, 0, 0, 2, 12, 77
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\C.cpp", "C++", 55, 0, 0, 0, 4, 12, 71
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\D.cpp", "C++", 110, 0, 0, 0, 3, 15, 128
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\D_Reverse_Madness.cpp", "C++", 110, 0, 0, 0, 3, 15, 128
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\E.cpp", "C++", 102, 0, 0, 0, 3, 16, 121
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\F_Vasilije_Loves_Number_Theory.cpp", "C++", 97, 0, 0, 0, 27, 16, 140
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\A_Jellyfish_and_Undertale.cpp", "C++", 58, 0, 0, 0, 2, 12, 72
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\B2.cpp", "C++", 73, 0, 0, 0, 7, 0, 80
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\B_Jellyfish_and_Game.cpp", "C++", 113, 0, 0, 0, 10, 15, 138
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\C_Jellyfish_and_Green_Apple.cpp", "C++", 79, 0, 0, 0, 2, 17, 98
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\A_Goals_of_Victory.cpp", "C++", 57, 0, 0, 0, 2, 12, 71
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\B_Helmets_in_Night_Light.cpp", "C++", 72, 0, 0, 0, 2, 14, 88
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\C_Joyboard.cpp", "C++", 72, 0, 0, 0, 2, 12, 86
