0:   1,   1 0 1 
   1:   2,   2 1 2 
   2:   3,   3 2 3 
   3:   3,   3 01 3 
   4:   4,   4 11 4 
   5:   5,   5 21 5 
   6:   5,   4 02 4 
   7:   5,   5 12 5 
   8:   6,   6 22 6 
   9:   6,   4 001 4 
  10:   6,   5 101 5 
  11:   6,   6 201 6 
  12:   6,   5 011 5 
  13:   6,   6 111 6 
  14:   7,   7 211 7 
  15:   7,   6 021 6 
  16:   7,   7 121 7 
  17:   8,   8 221 8 
  18:   8,   5 002 5 
  19:   8,   6 102 6 
  20:   8,   7 202 7 
  21:   8,   6 012 6 
  22:   8,   7 112 7 
  23:   8,   8 212 8 
  24:   8,   7 022 7 
  25:   8,   8 122 8 
  26:   9,   9 222 9 
  27:   9,   5 0001 5 
  28:   9,   6 1001 6 
  29:   9,   7 2001 7 
  30:   9,   6 0101 6 
  31:   9,   7 1101 7 
  32:   9,   8 2101 8 
  33:   9,   7 0201 7 
  34:   9,   8 1201 8 
  35:   9,   9 2201 9 
  36:   9,   6 0011 6 
  37:   9,   7 1011 7 
  38:   9,   8 2011 8 
  39:   9,   7 0111 7 
  40:   9,   8 1111 8 
  41:   9,   9 2111 9 
  42:   9,   8 0211 8 
  43:   9,   9 1211 9 
  44:  10,  10 2211 10 
  45:  10,   7 0021 7 
  46:  10,   8 1021 8 
  47:  10,   9 2021 9 
  48:  10,   8 0121 8 
  49:  10,   9 1121 9 
  50:  10,  10 2121 10 
  51:  10,   9 0221 9 
  52:  10,  10 1221 10 
  53:  11,  11 2221 11 
  54:  11,   6 0002 6 
  55:  11,   7 1002 7 
  56:  11,   8 2002 8 
  57:  11,   7 0102 7 
  58:  11,   8 1102 8 
  59:  11,   9 2102 9 
  60:  11,   8 0202 8 
  61:  11,   9 1202 9 
  62:  11,  10 2202 10 
  63:  11,   7 0012 7 
  64:  11,   8 1012 8 
  65:  11,   9 2012 9 
  66:  11,   8 0112 8 
  67:  11,   9 1112 9 
  68:  11,  10 2112 10 
  69:  11,   9 0212 9 
  70:  11,  10 1212 10 
  71:  11,  11 2212 11 
  72:  11,   8 0022 8 
  73:  11,   9 1022 9 
  74:  11,  10 2022 10 
  75:  11,   9 0122 9 
  76:  11,  10 1122 10 
  77:  11,  11 2122 11 
  78:  11,  10 0222 10 
  79:  11,  11 1222 11 
  80:  12,  12 2222 12 
  81:  12,   6 00001 6 
  82:  12,   7 10001 7 
  83:  12,   8 20001 8 
  84:  12,   7 01001 7 
  85:  12,   8 11001 8 
  86:  12,   9 21001 9 
  87:  12,   8 02001 8 
  88:  12,   9 12001 9 
  89:  12,  10 22001 10 
  90:  12,   7 00101 7 
  91:  12,   8 10101 8 
  92:  12,   9 20101 9 
  93:  12,   8 01101 8 
  94:  12,   9 11101 9 
  95:  12,  10 21101 10 
  96:  12,   9 02101 9 
  97:  12,  10 12101 10 
  98:  12,  11 22101 11 
  99:  12,   8 00201 8 
 100:  12,   9 10201 9 
 101:  12,  10 20201 10 
 102:  12,   9 01201 9 
 103:  12,  10 11201 10 
 104:  12,  11 21201 11 
 105:  12,  10 02201 10 
 106:  12,  11 12201 11 
 107:  12,  12 22201 12 
 108:  12,   7 00011 7 
 109:  12,   8 10011 8 
 110:  12,   9 20011 9 
 111:  12,   8 01011 8 
 112:  12,   9 11011 9 
 113:  12,  10 21011 10 
 114:  12,   9 02011 9 
 115:  12,  10 12011 10 
 116:  12,  11 22011 11 
 117:  12,   8 00111 8 
 118:  12,   9 10111 9 
 119:  12,  10 20111 10 
 120:  12,   9 01111 9 
 121:  12,  10 11111 10 
 122:  12,  11 21111 11 
 123:  12,  10 02111 10 
 124:  12,  11 12111 11 
 125:  12,  12 22111 12 
 126:  12,   9 00211 9 
 127:  12,  10 10211 10 
 128:  12,  11 20211 11 
 129:  12,  10 01211 10 
 130:  12,  11 11211 11 
 131:  12,  12 21211 12 
 132:  12,  11 02211 11 
